record_id,citation,doi,report_access,full_text_stage,final_role,six_domain_appraisal,quantitative_performance_use
E123,"JAFARI F, DORAFSHAN S. Granular stockpile volume dataset[J]. *Data in Brief*, 2026, 66: 112631. DOI: 10.1016/j.dib.2026.112631.",10.1016/j.dib.2026.112631,DATA,INCLUDED,DATA-RESOURCE,no,claim-specific
E124,"QIU Z, LIN D, LIU B, et al. LiDAR-based multi-modal UAV navigation dataset for robust benchmarking in complex-structured, GNSS-denied industrial environments[J]. *Drones*, 2026, 10(8): 611. DOI: 10.3390/drones10080611.",10.3390/drones10080611,DATA,INCLUDED,DATA-RESOURCE,no,claim-specific
E125,"GAGO R. Aerial robotic system for inventory of stockpile warehouses[DB]. *IEEE DataPort*, 2020. DOI: 10.21227/zyxc-wq04.",10.21227/zyxc-wq04,DATA,INCLUDED,DATA-RESOURCE,no,claim-specific
E01,"YANG X, HUANG Y, ZHANG Q. Automatic stockpile extraction and measurement using 3D point cloud and multi-scale directional curvature[J]. Remote Sensing, 2020, 12(6): 960. DOI: 10.3390/rs12060960.",10.3390/rs12060960,FT,INCLUDED,DIRECT-EMPIRICAL,yes,claim-specific
E02,"ELLINGER A, WOERNER C, SCHERER R. Automatic segmentation of bulk material heaps using color, texture, and topography from aerial data and deep learning-based computer vision[J]. Remote Sensing, 2023, 15(1): 211. DOI: 10.3390/rs15010211.",10.3390/rs15010211,FT,INCLUDED,DIRECT-EMPIRICAL,yes,claim-specific
E03,"SU C, LI Z, WEI Z, et al. A non-contact method for weighting of aggregate pile based on binocular vision[J]. Measurement and Control, 2024, 57(9): 1298-1312. DOI: 10.1177/00202940241238676.",10.1177/00202940241238676,FT,INCLUDED,DIRECT-EMPIRICAL,yes,claim-specific
E109,"CHATHURANGA M, DARWIN N B, AHMAD A B, SANDAMALI J. iPhone LiDAR-based volume estimation of regular and irregular shaped stockpiles[C]. *ISPRS Archives*, 2026, XLVIII-M-10-2025: 91–98. DOI: 10.5194/isprs-archives-XLVIII-M-10-2025-91-2026.",10.5194/isprs-archives-xlviii-m-10-2025-91-2026,FT,INCLUDED,DIRECT-EMPIRICAL,yes,claim-specific
E110,"PICCHI D, BRELL-COKCAN S. A multi-view approach for bulk material volume estimation[J]. *Construction Robotics*, 2026, 10: 7. DOI: 10.1007/s41693-026-00179-z.",10.1007/s41693-026-00179-z,FT,INCLUDED,DIRECT-EMPIRICAL,yes,claim-specific
E111,"AJI A R S, DJURDJANI. Perbandingan volume stockpile batu bara hasil UAV fotogrametri dan UAV LiDAR [Comparison analysis of coal stockpile volume using UAV photogrammetry and UAV LiDAR][J]. *Journal of Geospatial Information Science and Engineering*, 2022, 5(2): 132–138. DOI: 10.22146/jgise.78295.",10.22146/jgise.78295,FT,INCLUDED,DIRECT-EMPIRICAL,yes,claim-specific
E112,"DHAKAL S, MANANDHAR A, SHAH A, KHANAL S. Integrating UAS remote sensing and edge detection for accurate coal stockpile volume estimation[J]. *Remote Sensing*, 2025, 17(18): 3136. DOI: 10.3390/rs17183136.",10.3390/rs17183136,FT,INCLUDED,DIRECT-EMPIRICAL,yes,claim-specific
E114,"SUN A, YU H, SHENG C, et al. Automated volume quantification of deck-loaded riprap from portable LiDAR SLAM point clouds[J]. *Water*, 2026, 18(12): 1435. DOI: 10.3390/w18121435.",10.3390/w18121435,FT,INCLUDED,DIRECT-EMPIRICAL,yes,claim-specific
E116,"GAGO R M, PEREIRA M Y A, PEREIRA G A S. An aerial robotic system for inventory of stockpile warehouses[J]. *Engineering Reports*, 2021, 3(9): e12396. DOI: 10.1002/eng2.12396.",10.1002/eng2.12396,FT,INCLUDED,DIRECT-EMPIRICAL,yes,claim-specific
E117,"ALSAYED A, BANA F, ARVIN F, QUINN M K, NABAWY M R A. Experimental evaluation of multi- and single-drone systems with 1D LiDAR sensors for stockpile volume estimation[J]. *Aerospace*, 2025, 12(3): 189. DOI: 10.3390/aerospace12030189.",10.3390/aerospace12030189,FT,INCLUDED,DIRECT-EMPIRICAL,yes,claim-specific
E118,"LIU J, HASHEMINASAB S M, ZHOU T, MANISH R, HABIB A. An image-aided sparse point cloud registration strategy for managing stockpiles in dome storage facilities[J]. *Remote Sensing*, 2023, 15(2): 504. DOI: 10.3390/rs15020504.",10.3390/rs15020504,FT,INCLUDED,DIRECT-EMPIRICAL,yes,claim-specific
E122,"WU B, WANG S, LIN H, LI S, HOU L. Fast estimation of loader’s shovel load volume by 3D reconstruction of material piles[J]. *Chinese Journal of Mechanical Engineering*, 2023, 36: 117. DOI: 10.1186/s10033-023-00945-y.",10.1186/s10033-023-00945-y,FT,INCLUDED,DIRECT-EMPIRICAL,yes,claim-specific
E126,"MUHAMMED S T, ABED F M. Combining terrestrial laser scanning and drone-based photogrammetry towards improving volume calculations in construction projects[J]. *Journal of Engineering*, 2025, 31(8): 26–50. DOI: 10.31026/j.eng.2025.08.03.",10.31026/j.eng.2025.08.03,FT,INCLUDED,DIRECT-EMPIRICAL,yes,claim-specific
E127,"CAI Z, CHEBIL G A, TAN Y, KESSLER S, FOTTNER J. Deep learning-based on-site identification and volume measurement of bulk material in construction industry[J]. *Engineering Applications of Artificial Intelligence*, 2026, 163: 112797. DOI: 10.1016/j.engappai.2025.112797.",10.1016/j.engappai.2025.112797,FT,INCLUDED,DIRECT-EMPIRICAL,yes,claim-specific
E128,"YANG L, RAN C, YU Z, HAN F, WU W. Surface reconstruction and volume calculation of grain pile based on point cloud information from multiple viewpoints[J]. *Agriculture*, 2025, 15(11): 1208. DOI: 10.3390/agriculture15111208.",10.3390/agriculture15111208,FT,INCLUDED,DIRECT-EMPIRICAL,yes,claim-specific
E129,"WIJAYA D, KARTINI G A J. Accuracy analysis of mining material volume estimation using terrestrial laser scanning and UAV photogrammetry[J]. *Rekayasa Hijau*, 2026, 10(2): 128–142. DOI: 10.26760/jrh.v10i2.128-142.",10.26760/jrh.v10i2.128-142,FT,INCLUDED,DIRECT-EMPIRICAL,yes,claim-specific
E131,"SETYAWAN D, SUSILO Y. Analisis perbandingan volume stockpile batu bara hasil UAV LiDAR dan hasil penimbangan (studi kasus PT. Hardaya Mining Energy, Site Sebakis, Nunukan, Kalimantan Utara)[J]. *El-Jughrafiyah*, 2025, 5(1): 112–123. DOI: 10.24014/jej.v5i1.36301.",10.24014/jej.v5i1.36301,FT,INCLUDED,DIRECT-EMPIRICAL,yes,claim-specific
