study_id,study,T_reference_independence,S_scene_realism,R_repetition_breadth,C_chain_completeness,U_uncertainty_failure_treatment,P_reproducibility_reporting
F01,Tucci et al. (2019),H,L,S,L,S,S
F02,Yang et al. (2020),S,S,S,L,S,S
F03,Ajayi and Ajulo (2021),S,L,H,L,H,S
F04,Aji and Djurdjani (2022),H,L,S,L,S,S
F05,Manish et al. (2022),H,L,S,L,S,S
F06,Mahlberg et al. (2022),S,L,L,L,S,S
F07,Liu et al. (2023),H,L,S,H,S,S
F08,Ellinger et al. (2023),H,L,S,L,L,S
F09,Gago et al. (2021),S,L,L,L,L,S
F10,Alsayed et al. (2025),L,H,H,L,S,S
F11,Dhakal et al. (2025),H,L,S,L,S,S
F12,Chathuranga et al. (2026),L,H,H,S,H,H
F13,Chen et al. (2026),S,S,S,L,S,S
F14,A. Sun et al. (2026),S,L,L,L,S,S
F16,Wu et al. (2023),L,S,S,L,S,H
F17,Alsayed et al. (2021),S,S,H,L,S,S
F18,Picchi and Brell-Cokcan (2026),S,S,S,H,S,S
F19,Hasheminasab et al. (2023),H,L,S,H,S,S
F22,Siriba et al. (2015),H,L,S,L,S,H
F23,Kuinkel et al. (2023),S,S,H,L,H,S
F24,He et al. (2019),H,L,S,L,S,S
F26,Arango and Morales (2015),H,L,H,L,H,S
F27,Raeva et al. (2016),H,L,H,L,S,S
F28,Davis and Guy (2023),H,L,S,L,S,S
F29,Blistan et al. (2020),S,L,H,L,L,S
F30,Alsayed and Nabawy (2022),L,H,S,L,S,S
F31,Su et al. (2024),S,H,S,L,S,H
F32,Koshan et al. (2023),H,L,H,L,L,S
F33,Muhammed and Abed (2025),H,L,H,L,L,S
F34,Cai et al. (2026),L,H,L,L,S,S
F35,Yang L. et al. (2025),H,S,H,S,S,H
F37,Wijaya and Kartini (2026),H,L,H,L,S,S
F38,Setyawan and Susilo (2025),S,L,S,L,H,S
F39,Hardianti et al. (2025),H,L,H,L,H,S
F40,Borhan et al. (2025),H,L,H,L,S,S
F41,Maulana and Kuncoro (2025),H,L,S,L,S,S
F43,Liswanto et al. (2026),S,L,H,L,H,S
F44,Zhang et al. (2026),S,L,S,H,S,L
F45,Fotheringham and Paudyal (2021),H,L,H,S,S,L
F46,Imani et al. (2023),H,L,H,S,L,S
F47,Ferreira et al. (2022),L,S,S,L,S,L
F48,Jaiswal et al. (2025b),H,S,L,L,S,L
F49,Suno et al. (2025),H,L,H,L,S,S
F50,Su et al. (2022),L,H,S,L,S,L
